Day,Date,Treatment,Cosm,chla
-4,44307,Control,14,4.23
-4,44307,Control,15,8.46
-4,44307,Control,17,2.85
-4,44307,Control,22,0.87
-4,44307,HW,2,3.3
-4,44307,HW,6,3.09
-4,44307,HW,19,2.27
-4,44307,HW,24,2.08
3,NA,Control,14,2.22666666666667
3,NA,Control,15,2.25333333333333
3,NA,Control,17,1.44666666666667
3,NA,Control,22,1.05
3,NA,HW,2,0.526666666666667
3,NA,HW,6,0.78
3,NA,HW,19,1.33333333333333
3,NA,HW,24,0.886666666666667
10,44322,Control,14,2.1
10,44322,Control,15,1.3
10,44322,Control,17,1.1
10,44322,Control,22,1.9
10,44322,HW,2,0.33
10,44322,HW,6,0.24
10,44322,HW,19,0.31
10,44322,HW,24,0.45
15,NA,Control,14,1.58666666666667
15,NA,Control,15,2.72333333333333
15,NA,Control,17,1.13333333333333
15,NA,Control,22,2.22333333333333
15,NA,HW,2,0.94
15,NA,HW,6,0.33
15,NA,HW,19,0.913333333333333
15,NA,HW,24,0.546666666666667
24,20/5/2021,Control,14,2.23
24,20/5/2021,Control,15,3.1
24,20/5/2021,Control,17,1.29
24,20/5/2021,Control,22,5.35
24,20/5/2021,HW,2,0.72
24,20/5/2021,HW,6,0.92
24,20/5/2021,HW,19,1.89
24,20/5/2021,HW,24,0.63
30,NA,Control,14,2.66333333333333
30,NA,Control,15,1.49666666666667
30,NA,Control,17,1.07
30,NA,Control,22,5.97
30,NA,HW,2,1.03666666666667
30,NA,HW,6,0.616666666666667
30,NA,HW,19,0.69
30,NA,HW,24,1.83
38,44261,Control,14,7.84
38,44261,Control,15,1.2
38,44261,Control,17,1.75
38,44261,Control,22,16.96
38,44261,HW,2,0.87
38,44261,HW,6,0.5
38,44261,HW,19,2.12
38,44261,HW,24,0.8
